gene_name	pathway_count	pathways_1	pathways_2	pathways_3	pathways_4	pathways_5	pathways_6	pathways_7	pathways_8	pathways_9	pathways_10	pathways_11	pathways_12	pathways_13	pathways_14	pathways_15	pathways_16	pathways_17	pathways_18	pathways_19	pathways_20	pathways_21	pathways_22
ACAT1	22	gobp_organic_acid_metabolic_process	gobp_small_molecule_metabolic_process	gobp_lipid_metabolic_process	hp_metabolic_acidosis	gobp_cellular_lipid_metabolic_process	wp_leucine_isoleucine_and_valine_metabolism	gobp_fatty_acid_metabolic_process	gobp_nucleoside_bisphosphate_metabolic_process	hp_abnormal_circulating_metabolite_concentration	gobp_branched_chain_amino_acid_metabolic_process	gobp_amino_acid_metabolic_process	gobp_monocarboxylic_acid_metabolic_process	kegg_fatty_acid_metabolism	gobp_generation_of_precursor_metabolites_and_energy	gobp_ribose_phosphate_metabolic_process	hp_abnormal_urine_metabolite_level	gobp_purine_containing_compound_metabolic_process	gobp_alpha_amino_acid_metabolic_process	gobp_acyl_coa_metabolic_process	reactome_metabolism_of_lipids	gobp_organophosphate_metabolic_process	reactome_metabolism_of_amino_acids_and_derivatives
MMUT	22	gobp_organic_acid_metabolic_process	gobp_small_molecule_metabolic_process	gobp_lipid_metabolic_process	hp_metabolic_acidosis	reactome_fatty_acid_metabolism	gobp_cellular_lipid_metabolic_process	wp_leucine_isoleucine_and_valine_metabolism	gobp_fatty_acid_metabolic_process	gobp_nucleoside_bisphosphate_metabolic_process	hp_abnormal_circulating_metabolite_concentration	gobp_amino_acid_metabolic_process	gobp_monocarboxylic_acid_metabolic_process	hp_abnormality_of_vitamin_metabolism	gobp_ribose_phosphate_metabolic_process	hp_abnormal_metabolism	hp_abnormal_urine_metabolite_level	gobp_purine_containing_compound_metabolic_process	gobp_alpha_amino_acid_metabolic_process	wp_amino_acid_metabolism	gobp_acyl_coa_metabolic_process	reactome_metabolism_of_lipids	gobp_organophosphate_metabolic_process
DLD	18	gobp_organic_acid_metabolic_process	gobp_small_molecule_metabolic_process	hp_metabolic_acidosis	wp_leucine_isoleucine_and_valine_metabolism	gobp_nucleoside_bisphosphate_metabolic_process	hp_abnormal_circulating_metabolite_concentration	gobp_branched_chain_amino_acid_metabolic_process	gobp_amino_acid_metabolic_process	gobp_monocarboxylic_acid_metabolic_process	gobp_generation_of_precursor_metabolites_and_energy	gobp_ribose_phosphate_metabolic_process	hallmark_fatty_acid_metabolism	gobp_purine_containing_compound_metabolic_process	wp_amino_acid_metabolism	gobp_acyl_coa_metabolic_process	gobp_organophosphate_metabolic_process	reactome_metabolism_of_amino_acids_and_derivatives	hp_abnormal_csf_metabolite_concentration	NA	NA	NA	NA
ACSL1	16	gobp_organic_acid_metabolic_process	gobp_small_molecule_metabolic_process	gobp_lipid_metabolic_process	reactome_fatty_acid_metabolism	gobp_cellular_lipid_metabolic_process	gobp_fatty_acid_metabolic_process	gobp_nucleoside_bisphosphate_metabolic_process	gobp_monocarboxylic_acid_metabolic_process	kegg_fatty_acid_metabolism	gobp_ribose_phosphate_metabolic_process	hallmark_fatty_acid_metabolism	gobp_purine_containing_compound_metabolic_process	gobp_acyl_coa_metabolic_process	reactome_metabolism_of_lipids	hallmark_bile_acid_metabolism	gobp_organophosphate_metabolic_process	NA	NA	NA	NA	NA	NA
ACADM	15	gobp_organic_acid_metabolic_process	gobp_small_molecule_metabolic_process	gobp_lipid_metabolic_process	hp_metabolic_acidosis	reactome_fatty_acid_metabolism	gobp_cellular_lipid_metabolic_process	gobp_fatty_acid_metabolic_process	hp_abnormal_circulating_metabolite_concentration	gobp_monocarboxylic_acid_metabolic_process	kegg_fatty_acid_metabolism	gobp_generation_of_precursor_metabolites_and_energy	hallmark_fatty_acid_metabolism	hp_abnormal_urine_metabolite_level	wp_amino_acid_metabolism	reactome_metabolism_of_lipids	NA	NA	NA	NA	NA	NA	NA
AUH	15	gobp_organic_acid_metabolic_process	gobp_small_molecule_metabolic_process	gobp_lipid_metabolic_process	hp_metabolic_acidosis	gobp_cellular_lipid_metabolic_process	wp_leucine_isoleucine_and_valine_metabolism	gobp_fatty_acid_metabolic_process	gobp_branched_chain_amino_acid_metabolic_process	gobp_amino_acid_metabolic_process	gobp_monocarboxylic_acid_metabolic_process	hallmark_fatty_acid_metabolism	hp_abnormal_urine_metabolite_level	gobp_alpha_amino_acid_metabolic_process	wp_amino_acid_metabolism	reactome_metabolism_of_amino_acids_and_derivatives	NA	NA	NA	NA	NA	NA	NA
CROT	15	gobp_organic_acid_metabolic_process	gobp_small_molecule_metabolic_process	gobp_lipid_metabolic_process	reactome_fatty_acid_metabolism	gobp_cellular_lipid_metabolic_process	gobp_fatty_acid_metabolic_process	gobp_nucleoside_bisphosphate_metabolic_process	gobp_monocarboxylic_acid_metabolic_process	gobp_generation_of_precursor_metabolites_and_energy	gobp_ribose_phosphate_metabolic_process	gobp_purine_containing_compound_metabolic_process	reactome_metabolism_of_lipids	hallmark_bile_acid_metabolism	gobp_organophosphate_metabolic_process	hallmark_xenobiotic_metabolism	NA	NA	NA	NA	NA	NA	NA
ACOX2	14	gobp_organic_acid_metabolic_process	gobp_small_molecule_metabolic_process	gobp_lipid_metabolic_process	reactome_fatty_acid_metabolism	gobp_cellular_lipid_metabolic_process	gobp_fatty_acid_metabolic_process	hp_abnormal_circulating_metabolite_concentration	gobp_organic_hydroxy_compound_metabolic_process	gobp_monocarboxylic_acid_metabolic_process	hp_abnormality_of_vitamin_metabolism	hp_abnormal_metabolism	gobp_steroid_metabolic_process	reactome_metabolism_of_lipids	hallmark_xenobiotic_metabolism	NA	NA	NA	NA	NA	NA	NA	NA
HSD17B12	14	gobp_organic_acid_metabolic_process	gobp_small_molecule_metabolic_process	gobp_lipid_metabolic_process	reactome_fatty_acid_metabolism	gobp_cellular_lipid_metabolic_process	gobp_fatty_acid_metabolic_process	gobp_nucleoside_bisphosphate_metabolic_process	gobp_monocarboxylic_acid_metabolic_process	gobp_ribose_phosphate_metabolic_process	gobp_purine_containing_compound_metabolic_process	gobp_steroid_metabolic_process	gobp_acyl_coa_metabolic_process	reactome_metabolism_of_lipids	gobp_organophosphate_metabolic_process	NA	NA	NA	NA	NA	NA	NA	NA
PCCA	14	gobp_organic_acid_metabolic_process	gobp_small_molecule_metabolic_process	gobp_lipid_metabolic_process	hp_metabolic_acidosis	reactome_fatty_acid_metabolism	gobp_cellular_lipid_metabolic_process	wp_leucine_isoleucine_and_valine_metabolism	gobp_fatty_acid_metabolic_process	hp_abnormal_circulating_metabolite_concentration	gobp_branched_chain_amino_acid_metabolic_process	gobp_amino_acid_metabolic_process	gobp_monocarboxylic_acid_metabolic_process	hp_abnormal_urine_metabolite_level	reactome_metabolism_of_lipids	NA	NA	NA	NA	NA	NA	NA	NA
