pathways	genes_1	genes_2	genes_3	genes_4	genes_5	genes_6	genes_7	genes_8	genes_9	genes_10	genes_11	genes_12	genes_13	genes_14	genes_15	genes_16	genes_17	genes_18	genes_19	genes_20	genes_21	genes_22	genes_23	genes_24	genes_25	genes_26	genes_27	genes_28	genes_29	genes_30	genes_31	genes_32	genes_33	genes_34	genes_35	genes_36	genes_37	genes_38	genes_39	genes_40	genes_41	genes_42	genes_43	genes_44	genes_45	genes_46	genes_47	genes_48	genes_49	genes_50	genes_51	genes_52	genes_53	genes_54	genes_55	genes_56	genes_57	genes_58	genes_59	genes_60	genes_61	genes_62	genes_63	genes_64	genes_65	genes_66	genes_67	genes_68	genes_69	genes_70	genes_71	genes_72	genes_73	genes_74	genes_75	genes_76	genes_77	genes_78	genes_79	genes_80	genes_81	genes_82	genes_83	genes_84	genes_85	genes_86	genes_87	genes_88
chen_metabolic_syndrom_network	ARRB2	CD3E	CD86	CSF1R	LCP2	PLAUR	PTPN22	PYCARD	SLC11A1	SPHK1	ADAM8	ADAMTS2	BCL2A1	CCNA2	CD244	CDKN2C	COL1A1	COL1A2	COL5A1	IFI16	LILRB4	SLAMF8	VIM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_acyl_coa_metabolic_process	ACAT1	MMUT	DLD	ACSL1	HSD17B12	SUCLA2	NUDT7	DLAT	SUCLG2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_alpha_amino_acid_metabolic_process	ACAT1	MMUT	AUH	ACADSB	ALDH6A1	IVD	MCCC2	HIBCH	ACAD8	ALDH8A1	HIBADH	IYD	CRYM	SHMT1	AGMAT	ASRGL1	DDAH1	GLYATL1	MSRA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_amino_acid_metabolic_process	ACAT1	MMUT	DLD	AUH	PCCA	ACADSB	ALDH6A1	IVD	MCCC2	HIBCH	ACAD8	ALDH8A1	DDC	HIBADH	IYD	CRYM	SHMT1	DBT	AGMAT	ASRGL1	DDAH1	GLYATL1	MSRA	BPHL	PEPD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_branched_chain_amino_acid_metabolic_process	ACAT1	DLD	AUH	PCCA	ACADSB	ALDH6A1	IVD	MCCC2	HIBCH	ACAD8	HIBADH	DBT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_cellular_lipid_metabolic_process	ACAT1	MMUT	ACSL1	ACADM	AUH	CROT	ACOX2	HSD17B12	PCCA	ACAA1	ACADSB	HADH	NUDT7	IVD	PPARA	ACOX1	CYP4A11	HMGCR	ABCD3	PHYH	PRKAA2	CBR4	EPHX2	HAO2	IDI1	PCK2	ALDH8A1	ECI2	FAAH2	FDFT1	PEX7	ADH6	BDH2	CRYL1	CEACAM1	ECHDC3	FMO4	RGN	ITPKB	NAPEPLD	ETNK2	MTMR10	PIGH	SGMS1	SLC44A4	FUT6	PDSS2	PNPLA4	PRKD1	SOCS2	SPNS2	CERKL	SORL1	ST6GALNAC3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_collagen_metabolic_process	TGFB1	ADAMTS2	COL1A1	COL1A2	COL5A1	MMP14	VIM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_fatty_acid_metabolic_process	ACAT1	MMUT	ACSL1	ACADM	AUH	CROT	ACOX2	HSD17B12	PCCA	ACAA1	ACADSB	HADH	NUDT7	IVD	PPARA	ACOX1	CYP4A11	ABCD3	PHYH	PRKAA2	CBR4	HAO2	PCK2	ECI2	FAAH2	PEX7	BDH2	CRYL1	CEACAM1	ECHDC3	FMO4	RGN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_generation_of_precursor_metabolites_and_energy	ACAT1	DLD	ACADM	CROT	SUCLA2	PPARA	ACOX1	DLAT	FBP1	PRKAA2	SUCLG2	NDUFS1	FDX1	FECH	KL	SDHD	SIRT6	ALDH1L1	NDUFC2	SDHC	SLC25A4	AGL	TP53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_lipid_metabolic_process	ACAT1	MMUT	ACSL1	ACADM	AUH	CROT	ACOX2	HSD17B12	PCCA	ACAA1	ACADSB	HADH	NUDT7	IVD	PPARA	ACOX1	CYP4A11	HMGCR	ABCD3	ACAD8	PHYH	PRKAA2	CBR4	EPHX2	HAO2	IDI1	PCK2	ALDH8A1	ECI2	FAAH2	FDFT1	PEX7	ADH6	BDH2	CRYL1	CEACAM1	ECHDC3	FDX1	FECH	FMO4	RGN	SIRT6	CYP51A1	ITPKB	NAPEPLD	PBX1	TSPO	ETNK2	MTMR10	PIGH	SGMS1	SLC44A4	ATP1A1	EGR1	FAXDC2	FUT6	PDSS2	PNPLA4	PRKD1	SOCS2	SPNS2	AOX1	CERKL	SORL1	ST6GALNAC3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
